trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
964,False,"{'a': 0.5, 'e': 0.0019122016584765013}",25,11,31.506042827467226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 0.0018998126555754163}",25,17,17.444106201535114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.5, 'e': 0.0018875039200416369}",30,16,28.3588088657428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.5, 'e': 0.0018752749318292556}",20,14,12.003103798193713,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.5, 'e': 0.0018631251742617014}",20,10,16.484462107925452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.5, 'e': 0.0018510541340099097}",25,16,14.858217413493964,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
970,False,"{'a': 0.5, 'e': 0.0018390613010706343}",20,16,9.333495707624275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.5, 'e': 0.0018271461687448993}",25,11,24.95075584535376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
972,False,"{'a': 0.5, 'e': 0.0018153082336165919}",30,13,33.54528611309228,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
973,False,"{'a': 0.5, 'e': 0.0018035469955311916}",20,16,8.249989183106145,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.5, 'e': 0.0017918619575746399}",20,11,17.399871642868913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.5, 'e': 0.001780252626052345}",20,16,7.963685111772051,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.5, 'e': 0.0017687185104683228}",35,15,38.72414262422033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.5, 'e': 0.0017572591235044746}",30,16,31.370238624679992,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
978,False,"{'a': 0.5, 'e': 0.001745873980999996}",20,15,9.889925542129816,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.5, 'e': 0.0017345626019309231}",20,13,15.067538197277939,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
980,False,"{'a': 0.5, 'e': 0.0017233245083898073}",20,5,30.93844576790708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
981,False,"{'a': 0.5, 'e': 0.0017121592255655233}",30,12,34.2808793186347,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.5, 'e': 0.001701066281723214}",20,13,13.841134180144238,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.5, 'e': 0.0016900452081843502}",25,14,17.697645016139514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.5, 'e': 0.0016790955393069357}",20,2,29.46968741326737,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.5, 'e': 0.0016682168124658313}",35,3,53.44608554066174,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.5, 'e': 0.00165740856803321}",25,12,24.63766327536078,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
987,False,"{'a': 0.5, 'e': 0.0016466703493591367}",30,21,21.115902705365635,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
988,False,"{'a': 0.5, 'e': 0.0016360017027522748}",35,18,34.351972476244995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.5, 'e': 0.0016254021774607184}",30,16,29.70979829067823,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.5, 'e': 0.001614871325652947}",25,12,23.196839769044878,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.5, 'e': 0.0016044087023989052}",25,12,25.3228745030087,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.5, 'e': 0.0015940138656512044}",20,6,25.793159154562723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
993,False,"{'a': 0.5, 'e': 0.0015836863762264456}",20,15,9.065520648260067,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.5, 'e': 0.0015734257977866642}",25,18,14.766544248977436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
995,False,"{'a': 0.5, 'e': 0.0015632316968208948}",20,3,30.73019903413254,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
996,False,"{'a': 0.5, 'e': 0.0015531036426268555}",20,13,13.234758803088816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.5, 'e': 0.0015430412072927496}",25,17,15.089715963192354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
998,False,"{'a': 0.5, 'e': 0.0015330439656791876}",20,15,8.700698180364766,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
999,False,"{'a': 0.5, 'e': 0.0015231114954012228}",35,15,40.987644420722546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.5, 'e': 0.0015132433768105112}",25,11,24.366591016684147,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1001,False,"{'a': 0.5, 'e': 0.001503439192977573}",20,8,25.487709617827075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.5, 'e': 0.0014936985296741827}",20,13,13.66584842047042,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.5, 'e': 0.001484020975355867}",35,22,28.08819218510949,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.5, 'e': 0.0014744061211445162}",30,19,26.63810329547324,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.5, 'e': 0.0014648535608111097}",30,24,9.956964911933772,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.5, 'e': 0.0014553628907585522}",20,15,8.81572586971365,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.5, 'e': 0.0014459337100046225}",25,15,-20.29410744177097,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1008,False,"{'a': 0.5, 'e': 0.001436565620165031}",20,14,11.566042480430614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.5, 'e': 0.0014272582254365883}",30,14,29.462684498645018,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.5, 'e': 0.0014180111325804827}",25,14,22.35888584576625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.5, 'e': 0.0014088239509056654}",25,15,21.52666637118101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.5, 'e': 0.0013996962922523443}",25,0,37.41067843909557,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1013,False,"{'a': 0.5, 'e': 0.001390627770975583}",20,15,12.48114372468038,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1014,False,"{'a': 0.5, 'e': 0.001381618003929009}",25,11,26.291690404508557,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1015,False,"{'a': 0.5, 'e': 0.0013726666104486242}",20,11,17.767330819100543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.5, 'e': 0.0013637732123367224}",25,14,23.426619639318574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 0.0013549374338459091}",25,20,9.956579872033291,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.5, 'e': 0.0013461589016632316}",20,13,13.106183979561179,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1019,False,"{'a': 0.5, 'e': 0.0013374372448943974}",20,15,9.21685202812305,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1020,False,"{'a': 0.5, 'e': 0.0013287720950481113}",25,7,34.20404859814922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1021,False,"{'a': 0.5, 'e': 0.001320163086020503}",25,13,23.194212161484884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.5, 'e': 0.0013116098540796605}",30,11,35.61846902596544,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1023,False,"{'a': 0.5, 'e': 0.001303112037850262}",20,12,14.209742748295803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1024,False,"{'a': 0.5, 'e': 0.0012946692782983074}",30,16,30.024025096393114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.5, 'e': 0.00128628121871595}",25,4,35.842957481935436,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.0012779475047064249}",20,16,7.137677319084933,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.001269667784169075}",30,11,34.92736486523348,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1028,False,"{'a': 0.5, 'e': 0.0012614417072844765}",20,13,13.973203227133038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.5, 'e': 0.0012532689264996568}",25,14,19.158007483116236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.5, 'e': 0.0012451490965134124}",30,19,23.3830957894235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 0.0012370818742617183}",30,20,18.709537049073166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.5, 'e': 0.0012290669189032343}",20,14,10.487687866246077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 0.0012211038918049045}",25,19,8.151520054557698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.001213192456527648}",25,19,15.365550105601319,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.00120533227881215}",20,7,23.77114862098751,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 0.0011975230265647314}",30,18,2.66838161054317,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1037,False,"{'a': 0.5, 'e': 0.0011897643698433233}",35,0,61.758229849399996,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",1
1038,False,"{'a': 0.5, 'e': 0.0011820559808435249}",25,13,19.385274373917014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.0011743975338847543}",35,24,22.3429629608665,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 0.0011667887053964886}",25,17,13.499370840842877,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1041,False,"{'a': 0.5, 'e': 0.0011592291739045918}",20,10,17.206754170095756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.5, 'e': 0.0011517186200177341}",25,7,29.977865237891972,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1043,False,"{'a': 0.5, 'e': 0.0011442567264138967}",25,11,21.872531245433635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.5, 'e': 0.0011368431778269645}",20,13,10.425450810203195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.5, 'e': 0.001129477661033407}",20,10,18.026896067253244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.5, 'e': 0.0011221598648390443}",25,17,17.036365348974662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.0011148894800658985}",30,20,19.84044476189551,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.5, 'e': 0.001107666199539131}",20,0,31.11798407856714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1049,False,"{'a': 0.5, 'e': 0.0011004897180740656}",30,18,24.22998154579329,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
